player,team,minute,second,x,y,outcome,body_part,shot_type,first_time,statsbomb_xg,goal,distance,angle,xg_baseline,xg_improved,diff_baseline_statsbomb,diff_improved_statsbomb
Lionel Andrés Messi Cuccittini,Barcelona,91,43,111.5,36.2,Goal,Left Foot,Open Play,False,0.42062446,1,9.310746479203479,0.7038581544394724,0.2427650806541583,0.24035285908791384,-0.17785937934584167,-0.18027160091208613
Ousmane Dembélé,Barcelona,4,30,119.2,27.8,Off T,Right Foot,Open Play,False,0.018746857,0,12.226201372462338,0.04300558601128834,0.13466919262595112,0.12149434893039017,0.11592233562595111,0.10274749193039018
Enes Ünal,Real Valladolid,6,58,105.7,21.6,Saved,Left Foot,Open Play,True,0.01126114,0,23.303433223454434,0.19511640705230004,0.05492305528234671,0.05890389616234214,0.04366191528234671,0.047642756162342134
Rubén Alcaraz Jiménez,Real Valladolid,13,42,88.9,46.8,Saved,Right Foot,Open Play,False,0.025371064,0,31.834729463276418,0.22382544250464345,0.02502688022377639,0.016846877746956493,-0.0003441837762236076,-0.008524186253043506
Ousmane Dembélé,Barcelona,14,20,92.0,28.6,Off T,Right Foot,Open Play,False,0.024100218,0,30.231771367222265,0.2237788487905312,0.029159191933980054,0.02016427433870773,0.005058973933980054,-0.003935943661292268
Ousmane Dembélé,Barcelona,21,28,98.8,35.4,Off T,Right Foot,Open Play,False,0.04912386,0,21.693316943243147,0.32721789270780566,0.06912665009291763,0.0562192104422226,0.02000279009291763,0.007095350442222599
Luis Alberto Suárez Díaz,Barcelona,32,2,112.7,31.2,Saved,Right Foot,Open Play,True,0.15582989,0,11.433722053644647,0.42734899631674295,0.17821612684477484,0.23927094111698397,0.022386236844774837,0.08344105111698397
Philippe Coutinho Correia,Barcelona,34,8,100.6,28.5,Saved,Right Foot,Open Play,True,0.05184672,0,22.552383466055208,0.2792667787548842,0.06203098386170706,0.07229406972396056,0.010184263861707059,0.02044734972396056
Luis Alberto Suárez Díaz,Barcelona,36,14,107.2,48.6,Blocked,Right Foot,Open Play,True,0.069061086,0,15.420765220960988,0.3955281504793439,0.12561799069246854,0.1625894421285806,0.056556904692468546,0.0935283561285806
Lionel Andrés Messi Cuccittini,Barcelona,42,28,94.9,38.6,Off T,Left Foot,Free Kick,False,0.06438187,0,25.139013504909055,0.28872511596734596,0.0491102003161862,0.0841480434579239,-0.015271669683813792,0.019766173457923905
Enes Ünal,Real Valladolid,46,52,105.8,21.3,Off T,Right Foot,Open Play,False,0.01063624,0,23.48041737278109,0.1908756437606848,0.0538864961823396,0.04149752745014416,0.0432502561823396,0.03086128745014416
Ousmane Dembélé,Barcelona,48,14,109.5,23.2,Saved,Right Foot,Open Play,False,0.01864248,0,19.81136037731887,0.2000348659670562,0.07586938447418082,0.06222429931987926,0.057226904474180815,0.043581819319879256
Ousmane Dembélé,Barcelona,56,29,111.9,49.0,Goal,Right Foot,Open Play,True,0.09232311,1,12.108261642366335,0.4187607833175387,0.16794422336407397,0.22426265874972087,0.07562111336407397,0.13193954874972086
Óscar Plano Pedreño,Real Valladolid,69,24,96.1,28.3,Off T,Right Foot,Open Play,False,0.025792476,0,26.610148440021906,0.24670107297850521,0.04167450250690459,0.03075927133096592,0.015882026506904588,0.004966795330965917
Sergio Gontán Gallardo,Real Valladolid,76,11,112.0,41.8,Saved,Head,Open Play,False,0.19717629,0,8.2,0.8273256721654616,0.27947264993501814,0.10695699814919564,0.08229635993501813,-0.09021929185080436
Francisco José Olivas Alba,Real Valladolid,80,21,109.2,36.8,Saved,Head,Open Play,False,0.046542387,0,11.264102272262978,0.6084568542498409,0.19907253778714631,0.06557262441794279,0.15253015078714632,0.01903023741794279
Gerard Piqué Bernabéu,Barcelona,81,13,111.5,39.1,Blocked,Head,Open Play,False,0.07352478,0,8.54751425854324,0.8063625000207133,0.26992585928425583,0.10159897504148467,0.19640107928425582,0.028074195041484673
Malcom Filipe Silva de Oliveira,Barcelona,88,56,108.4,27.6,Saved,Left Foot,Open Play,False,0.1406415,0,16.979988221432894,0.29956146458851385,0.10372161305220319,0.08566194891984741,-0.03691988694779681,-0.054979551080152594
Rubén Alcaraz Jiménez,Real Valladolid,89,59,91.8,50.2,Off T,Right Foot,Open Play,False,0.021421283,0,29.987997599039524,0.22892963683526416,0.029941951564890736,0.020810317518413522,0.008520668564890737,-0.0006109654815864771
Samuele Longo,Huesca,2,1,113.8,35.6,Blocked,Head,Open Play,False,0.1526698,0,7.602631123499287,0.7963078258422006,0.28719549916941445,0.11104742529009333,0.13452569916941445,-0.041622374709906665
Juan Camilo Hernández Suárez,Huesca,2,2,115.4,36.6,Goal,Right Foot,Open Play,True,0.4612487,1,5.720139858430031,1.0497882433875427,0.3642559892276689,0.5051808518384505,-0.09699271077233113,0.043932151838450506
Lionel Andrés Messi Cuccittini,Barcelona,15,11,110.2,50.8,Goal,Right Foot,Open Play,False,0.13622634,1,14.58355237930731,0.3455272210323879,0.1310982038129467,0.11996202044082205,-0.005128136187053295,-0.016264319559177953
Ousmane Dembélé,Barcelona,18,0,110.4,23.9,Saved,Left Foot,Open Play,False,0.035666563,0,18.744865963777922,0.20500024558224145,0.0837820821274925,0.06604163458516411,0.0481155191274925,0.030375071585164115
Ivan Rakitić,Barcelona,18,25,89.8,48.6,Saved,Right Foot,Open Play,False,0.023244508,0,31.400636936215168,0.22349375470118968,0.026080632581813826,0.017683591317423204,0.002836124581813825,-0.005560916682576796
Juan Camilo Hernández Suárez,Huesca,19,57,103.2,58.6,Saved,Right Foot,Open Play,False,0.011664363,0,25.063918289046505,0.19741920703389082,0.04669281853033301,0.03505451976129127,0.035028455530333014,0.023390156761291272
Lionel Andrés Messi Cuccittini,Barcelona,20,47,111.5,34.6,Saved,Head,Open Play,False,0.098762296,0,10.070253224224304,0.6153616947844573,0.21916616897724417,0.07484523680584088,0.12040387297724417,-0.023917059194159124
Lionel Andrés Messi Cuccittini,Barcelona,22,31,95.0,35.6,Blocked,Left Foot,Open Play,False,0.03473062,0,25.38424708357528,0.2822871339374892,0.04780577470467528,0.03413555952782133,0.013075154704675282,-0.0005950604721786656
Philippe Coutinho Correia,Barcelona,23,34,96.4,39.7,Blocked,Right Foot,Open Play,False,0.03933879,0,23.60190670263739,0.307670326241462,0.057315535384119,0.04499358248156997,0.017976745384119003,0.00565479248156997
Sergi Roberto Carnicer,Barcelona,27,52,116.9,51.9,Saved,Right Foot,Open Play,True,0.031235635,0,12.297154142320894,0.16318031317859588,0.14334512476335512,0.18573620410734012,0.11210948976335512,0.1545005691073401
Ousmane Dembélé,Barcelona,28,17,103.2,52.2,Post,Left Foot,Open Play,False,0.04735031,0,20.7624661348309,0.28633269319554533,0.07337336190025778,0.05672437753499984,0.026023051900257783,0.009374067534999843
Gonzalo Julián Melero Manzanares,Huesca,31,31,101.6,36.4,Saved,Right Foot,Open Play,False,0.066464424,0,18.748866632412753,0.37907331540657685,0.09301854520002703,0.08013740902972133,0.026554121200027037,0.013672985029721335
Lionel Andrés Messi Cuccittini,Barcelona,34,46,88.6,47.1,Off T,Left Foot,Free Kick,False,0.029354997,0,32.192701036104445,0.2210155283068589,0.02414114100896183,0.03731452083415338,-0.0052138559910381715,0.007959523834153381
Gerard Piqué Bernabéu,Barcelona,38,2,117.4,34.1,Blocked,Head,Open Play,False,0.15498605,0,6.447480127925944,0.5940977810771483,0.2830174895484016,0.10731247650164491,0.12803143954840163,-0.047673573498355076
Gerard Piqué Bernabéu,Barcelona,38,6,117.3,32.5,Saved,Right Foot,Open Play,False,0.2155108,0,7.971198153351854,0.3754459551920708,0.22732882165538718,0.2293475310337941,0.011818021655387173,0.013836731033794097
Luis Alberto Suárez Díaz,Barcelona,38,50,114.0,35.0,Goal,Right Foot,Open Play,True,0.45260957,1,7.810249675906654,0.745163955976502,0.2762359507022309,0.38347758243035973,-0.17637361929776912,-0.06913198756964029
Alejandro Gallar Falguera,Huesca,41,51,115.8,42.5,Goal,Left Foot,Open Play,True,0.5413826,1,4.887739763939978,1.2418500832485226,0.41377998394149373,0.5536078809306839,-0.1276026160585063,0.012225280930683868
Philippe Coutinho Correia,Barcelona,43,44,112.8,27.9,Saved,Right Foot,Open Play,False,0.10987921,0,14.080127840328725,0.27774170118883146,0.1316134456303229,0.1200045269460901,0.021734235630322896,0.01012531694609009
Philippe Coutinho Correia,Barcelona,44,22,93.3,42.5,Off T,Right Foot,Open Play,False,0.032995112,0,26.81678578800972,0.2701625292749573,0.041485693857460225,0.03064496235382261,0.008490581857460225,-0.0023501496461773887
Lionel Andrés Messi Cuccittini,Barcelona,46,11,117.6,49.4,Saved to Post,Left Foot,Open Play,False,0.06906999,0,9.701546268507922,0.2142879912108358,0.18248475590024002,0.16687195854972936,0.11341476590024002,0.09780196854972936
